"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:academics-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#weakties","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:msc-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:sigcse-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:cliff-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:hitchens-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:shaha-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:st-annes-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:oxford-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:cambridge-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:this-is-the-place-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:coventry-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:abisko-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:neworld-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:moravian-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:keyboard-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:appleby-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:sticky-comics-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:wikipedians-fig","","","",""
